time,speed,gradient
2163.66,17.5,-0
2164.59,17.5,-0
2165.74,17.5,0
2166.87,17.5,-1.3734
2167.82,17.5,-0
2168.72,17.5,-0
2169.58,17.5,-0
2170.4,17.5,-0
2171.5,17.5,0
2172.61,17.5,0
2173.78,17.5,1.49283
2174.9,17.5,-0
2176.17,17.5,0
2177.26,17.5,-0
2179.5,17.5,0
2182.11,17.5,1.05351
2183.99,18.1,-0
2185.97,18.1,0
2187.98,18.1,-1.52012
2189.74,18.1,-0
2192.77,18.1,0
2195.22,18.1,0.0282961
2197.34,18.1,-0
2199.2,18.1,-0
2200.66,18.1,-0
2202.33,18.1,-1.26935
2203.91,18.6,-0
2205.29,18.6,-0
2206.6,18.6,-0
2211.48,18.6,0.00603302
2213.55,18.6,-0
2215.86,19.7,0.634023
2217.77,19.7,-0
2219.66,19.7,-0
2221.27,19.7,-0
2222.74,19.7,-1.14981
2224.39,19.7,0
2225.97,19.7,-0
2227.55,19.7,0
2229.32,19.7,-0.81317
2231.3,19.7,0
2236.24,19.7,-0.0738754
2237.57,19.7,-0
2239,19.7,0
2240.57,19.7,0
2242.77,19.7,1.39338
2244.48,19.7,-0
2246.5,19.7,0
2248.17,19.7,1.44771
2250.4,19.7,0
2255.5,19.7,0.201143
2257.61,19.7,-0
2259.35,19.7,-0
2260.79,19.7,-1.0083
2262.68,19.7,0
2266.23,19.7,0.255058
2268.68,19.7,-0
2270.5,19.7,-0
2272.32,19.7,-1.55781
2274.34,19.7,0
2276.16,19.7,-0
2278.23,19.7,0
2283.26,19.7,0.328414
2293.31,21.4,0.631361
2300.78,21.4,0.423079
2308.26,21.4,1.56316
2315,21.4,-1.37946
2320.91,21.4,-1.31604
2325.99,21.4,1.08376
2330.47,21.4,-1.19406
2335.16,21.4,-1.51172
2340.24,21.4,-1.43896
2344.24,21.4,-0
2349.08,21.4,-1.06973
2354.58,21.4,-1.35129
2358.04,21.4,-0
2361.91,21.4,-1.35602
2365.42,21.1,-0
2369.05,21.1,1.38446
2372.78,21.1,-1.52048
2376.1,21.1,-0.69812
2378.16,21.1,-0
2380.23,21.1,0
2382.23,21.1,-0
2384.39,22.8,-1.33953
2386.32,22.8,-0
2388.78,22.8,0.946616
2391.55,22.8,0
2394.53,22.8,-1.28996
2397.1,22.8,-1.4184
2399.44,22.8,1.36022
2401.82,23.1,0
2407.64,22.5,-0.261096
2409.39,22.5,-0
2411.26,22.5,0.765793
2413.19,21.9,0
2415.22,21.9,0
2417.41,21.9,1.45387
2419.55,21.9,-0
2421.92,21.9,0
2424.44,21.9,-1.49078
2426.87,22.5,1.50725
2429.09,22.5,-0
2431.27,22.5,1.47235
2433.14,22.5,-1.40022
2434.93,22.5,-0
2436.75,22.5,0
2439.57,22.5,0
2440.72,22.8,0.526066
2444.42,22.8,0
2446.5,22.2,-0.62416
2448.47,22.2,-0
2450.53,22.2,0
2452.21,22.2,1.34814
2453.78,22.2,-1.35213
2455.34,22.2,-0
2457.28,22.2,0
2459.11,22.2,-0
2466.72,22.5,-0.0169216
2467.99,22.5,0.0869202
2469.24,22.5,-1.44247
2470.26,22.5,-0
2471.28,22.5,0
2472.17,22.5,-0
2473.1,22.5,0
2473.81,22.5,-0
2474.66,22.5,0
2475.58,22.5,1.3816
2476.58,22.5,0
2477.38,22.5,-0
2478.35,22.5,0
2480.07,22.5,0
2481.25,22.5,1.29997
2482.44,22.5,0
2483.79,23.1,0
2486.16,23.1,-0.111128
2486.84,23.1,-0
2489.17,22.5,0
2490.94,22.5,-0
2493.33,22.5,-0.173076
2496.11,22.5,1.2925
2498.03,22.5,0.372398
2499.93,22.5,-0
2500.62,22.5,-0
2502.83,20.6,0
2505.32,20.6,0.266252
2507.9,20.6,0
2509.68,20.6,-0
2511.53,20.6,1.48879
2515.92,20.6,0
2518.93,20.6,0.729694
2522.09,19.4,-0
2525.46,19.4,1.45645
2527.8,19.4,-0
2530.22,19.4,0
2537.08,19.4,-0.143515
2542.87,20,-1.04394
2547.76,20,0.774035
2553.07,20,-1.00104
2556.57,20.8,-0
2558.95,21.7,-0.867112
2560.45,21.7,-0
2561.6,21.7,-0
2562.75,21.7,0
2563.89,21.7,-1.55278
2564.83,21.7,-0
2565.76,21.7,-0
2567.29,21.7,0
2568.5,21.7,-0
2569.44,21.7,1.0142
2570.4,21.7,0
2571.81,21.7,0
2572.79,23.1,-0
2573.78,23.1,1.00406
2575.26,23.1,-0.722678
2575.72,23.1,-0
2576.9,23.1,0
2579.22,23.1,0
2580.47,23.1,-0
2582.2,23.1,0.091487
2583.09,23.1,0.598742
2584.74,23.1,0
2586.41,23.6,0
2588.92,23.3,0
2596.13,23.3,-0.080953
2600.13,23.3,-0
2601.81,23.3,0.0832948
2603.12,23.1,0.966866
2604.69,23.1,0
2606.55,23.1,0
2608.13,23.1,-0
2609.92,23.1,-1.25121
2611.36,23.1,-0
2612.77,23.1,-0
2614.33,23.1,0
2616.6,23.1,0.7472
2617.83,23.1,-0
2618.97,23.1,-0
2620.63,22.8,0
2622.32,22.8,1.51975
2624.31,22.8,0
2626.33,22.8,0
2627.22,22.5,0.406258
2628.13,22.5,0
2629.28,22.5,0
2630.98,22.5,0
2632.11,22.5,-0
2633.13,22.5,0.762144
2634.28,22.5,0
2635.92,22.5,0
2637.7,22.5,1.46357
2639.89,22.5,-0.942464
2641.04,22.5,-0
2644.03,22.5,0
2645.68,22.5,0.249648
2646.82,22.5,-0
2648.88,22.8,0
2650.67,22.8,0.547862
2652.62,22.8,0
2653.9,22.8,-0
2655.6,22.8,0.181649
2657.44,22.8,0
2659.35,22.8,0
2663.63,22.8,0.0353012
2664.91,22.8,-0
2666.1,22.8,-0
2667.45,22.8,0.606988
2668.77,22.8,-0
2670.14,22.8,0
2671.52,22.8,0
2672.97,22.8,-1.34948
2674.33,22.8,-0
2677.81,22.8,-0.296019
2678.81,22.8,-0
2681.1,20.6,1.1468
2683.55,20.6,0
2685.3,20.6,0.86647
2687.15,20.6,0
2689.48,20.6,0
2690.76,20.6,0.647972
2691.9,20.6,-0
2693.07,20.6,0
2694.19,20.6,-0
2695.33,20.6,0
2696.44,20.6,1.53834
2697.44,20.6,-0
2698.5,20.6,0
2699.51,20.6,-1.525
2700.47,20.6,-0
2702.25,20.6,0
2705.48,20.6,0
2707.01,20.6,-0.307109
2708.64,20.6,0
2709.96,20.6,-0
2710.74,20.6,-0
2711.57,21.9,0
2712.51,21.9,0
2713.51,21.9,0
2714.36,21.9,1.17102
2715.16,21.9,-0
2716.1,21.9,1.47692
2717.2,21.9,0
2718.28,21.9,-0
2719.34,21.9,-0
2720.66,21.9,-0.626744
2721.91,21.9,-0
2723.4,21.9,0
2725.15,21.9,0
2727.63,21.9,-0.775875
2732.68,23.6,-0.185813
2734.78,23.6,-0
2736.27,23.6,-0
2737.23,23.6,-0.295123
2737.39,23.6,-0
2738.88,23.6,0
2740.01,23.6,-0
2741.09,23.6,-0
2743.39,23.6,-0.264222
2746.24,23.6,1.18865
2747.8,23.6,0.447734
2748.8,23.6,-0
2750.72,23.6,0
2752.22,23.6,-0
2753.27,23.6,0.197396
2754.5,23.6,0
2755.84,23.6,0
2757.67,23.6,0
2760.23,23.6,-0.0525827
2761.5,23.6,-0
2763.08,23.6,0
2764.44,23.6,1.29098
2766.9,23.6,0
2768.11,23.1,-0
2769.62,23.1,-1.19129
2771.68,23.1,0
2774.83,23.1,0.956467
2778.29,23.1,0
2780.99,23.1,-0.102497
2786.84,23.1,-0.0137922
2789.48,23.1,-0
2792.63,23.1,-0.160987
2796.5,23.3,0.13944
2798.91,23.3,0.545655
2800.23,23.3,-0
2801.5,23.3,-0
2802.38,23.3,-0.917949
2803.26,23.3,0
2805.83,23.3,0
2807.64,23.3,-0.284225
2809.23,23.3,-0
2810.18,23.3,-0
2811.83,23.3,0
2813.47,23.3,-0.982798
2814.34,23.3,-0
2815.25,23.3,0
2816.1,23.3,-0
2817,23.3,0
2818.99,23.3,0.0673581
2823.67,23.3,-0.116741
2825.48,23.9,-0
2827.38,23.9,0
2829.22,23.9,1.457
2830.97,23.9,-0
2832.78,23.9,0
2834.93,23.9,-1.29895
2836.84,23.9,-1.4357
2838.69,23.9,-0
2840.38,23.9,-0
2843.06,23.9,-0.606429
2846.18,23.9,1.16155
2849.44,23.9,-1.30529
2855.05,23.9,-0.0320176
2860.81,23.9,0.893411
2863.92,23.9,0.206464
2865.77,23.9,-0
2866.74,23.9,-0.170575
2871.51,23.9,-0.124897
2874.28,23.9,0.237597
2876.04,23.9,-0
2877.54,23.9,-0.0483499
2881.5,23.9,0
2884.47,23.9,-0.870137
2887.04,23.9,-0
2888.98,23.9,-0
2891.34,22.8,0.989056
2893.9,22.8,0
2896.1,22.8,-0
2897.66,22.8,-1.21839
2899.3,22.8,0
2900.97,22.8,-1.54303
2902.68,22.8,0
2904.39,22.8,1.56145
2906.39,22.8,0
2907.92,22.8,-0
2909.59,22.8,0
2911.16,22.8,-1.47154
2912.85,22.8,-1.44697
2914.4,22.8,-0
2916.1,22.8,1.34498
2917.8,22.8,0
2919.5,22.8,-0
2921.07,22.8,0.262999
2922.78,22.8,0
2924.17,22.8,-0
2925.74,22.8,0
2927.33,22.8,1.50496
2928.83,22.8,-0
2930.16,22.8,-0
2931.45,22.8,-0
2933.4,22.8,0.295172
2935.32,22.8,-0
2937.11,22.8,-0
2938.99,22.8,1.45736
2946.93,22.8,-0.0173393
2948.75,22.8,-0
2950.57,22.8,1.54449
2952.27,22.8,-0
2954.1,22.8,0
2955.99,22.8,0.321746
2957.82,22.8,-0
2959.71,22.8,0
2961.62,22.8,0
2963.5,22.8,-0
2965.14,22.8,-0
2967.02,22.8,0.912908
2968.81,22.8,-0
2970.74,22.8,0
2985.3,22.8,0.0531672
2986.9,22.8,-0
2988.58,22.8,1.36177
2990.09,22.8,0.710536
2991.66,22.8,0
2993.2,22.8,-0
2994.87,22.8,1.2925
2996.43,22.8,1.40797
2998.14,22.8,0
3001.18,22.8,0.602429
3003,22.8,-0
3004.87,22.8,-1.15629
3006.82,22.8,0
3008.77,22.8,0
3010.63,22.8,-1.26945
3012.42,22.8,-0
3014.32,22.8,0
3015.82,22.8,-0.827478
3017.51,22.5,0
3019.59,22.5,0
3022.26,22.5,-1.0047
3024.74,22.5,-0
3026.78,22.5,-0
3028.51,22.5,-0.819867
3030.5,22.5,0
3032.42,22.5,-0
3034.45,22.5,1.09934
3036.41,22.5,-0
3038.4,22.5,-1.0839
3040.41,22.5,0
3042.92,22.5,0
3045.44,22.5,1.40565
3051.1,22.5,0.111278
3053.12,22.5,-0
3055.29,22.5,0.438337
3057.81,23.1,0
3060.37,23.1,0.260599
3062.65,23.1,-0
3065.07,23.1,0
3073.31,23.1,-0.0447462
3075.28,23.1,-0
3077.11,23.1,-1.13417
3079.08,23.1,0
3080.96,23.1,-0
3082.6,23.1,-0.380508
3084.33,23.1,0
3086.01,23.1,-0
3087.68,23.1,-1.54449
3089.36,23.1,-1.47113
3091.16,23.1,0
3092.92,23.1,-1.46945
3094.88,23.1,0
3096.98,23.1,0
3098.8,23.1,-0
3100.82,23.1,-0.540421
3102.82,23.1,-0
3104.79,23.1,-0
3107.02,23.1,1.19258
3109.17,23.1,1.37737
3111.47,23.1,0
3113.44,23.1,-0
3115.3,23.1,-1.4022
3117.57,23.1,-0.994421
3119.85,23.1,0
3122.09,23.1,-0.737815
3124.66,23.1,0
3126.88,23.1,-0.752732
3130.76,24.2,-0.230431
3135.12,25,-0.423129
3140.84,25,-0.0869892
3145.78,25,0.320219
3147.98,25.3,-0
3150.28,25.3,1.43575
3152.61,25.3,0
3155.07,25.3,0
3157.35,25.3,1.32165
3159.15,25.3,-1.13479
3160.88,25.3,-0
3163.21,25.3,-1.07345
3165.12,25.3,-0
3167.6,25.3,1.08122
3169.7,24.4,-0.298499
3172.03,24.4,0
3174.19,24.4,1.30055
3176,24.2,-0
3180.42,23.9,-0.243838
3186.31,23.9,-0.0255633
3188.41,23.9,-0
